id,model,picking_id,name,product_id,product_uom,product_uom_qty,picking_type_id,location_id,location_dest_id,date
str,str,ref,str,ref,ref,float,ref,ref,ref,eval
move_demo_001,stock.move,stock_forecast.picking_demo_001,(Forecast Demo) WH/Stock S76 Kudu Pro Inital Inventory,stock_forecast.product_product_2,product.product_uom_unit,46900,stock.picking_type_in,stock.stock_location_suppliers,stock.stock_location_stock,2015-01-01 01:49:51
move_demo_002,stock.move,stock_forecast.picking_demo_002,(Forecast Demo) WH/Stock  Gazelle Pro Inital Inventory,stock_forecast.product_product_4,product.product_uom_unit,79200,stock.picking_type_in,stock.stock_location_suppliers,stock.stock_location_stock,2015-01-01 08:56:28
move_demo_003,stock.move,stock_forecast.picking_demo_003,(Forecast Demo) WH/Stock iMac with Retina 5K display Inital Inventory,stock_forecast.product_product_1,product.product_uom_unit,34500,stock.picking_type_in,stock.stock_location_suppliers,stock.stock_location_stock,2015-01-01 14:46:57
move_demo_004,stock.move,stock_forecast.picking_demo_004,(Forecast Demo) WH/Stock iPad Mini 4 Inital Inventory,stock_forecast.product_product_3,product.product_uom_unit,250000,stock.picking_type_in,stock.stock_location_suppliers,stock.stock_location_stock,2015-01-01 05:01:49
move_demo_005,stock.move,stock_forecast.picking_demo_005,(Forecast Demo) WH/Stock iPod Touch Inital Inventory,stock_forecast.product_product_5,product.product_uom_unit,59400,stock.picking_type_in,stock.stock_location_suppliers,stock.stock_location_stock,2015-01-01 13:43:01
move_demo_006,stock.move,stock_forecast.picking_demo_006,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 1,stock_forecast.product_product_2,product.product_uom_unit,353,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-01-09 08:01:25
move_demo_007,stock.move,stock_forecast.picking_demo_007,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 2,stock_forecast.product_product_2,product.product_uom_unit,274,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-04-12 23:10:27
move_demo_008,stock.move,stock_forecast.picking_demo_008,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 3,stock_forecast.product_product_2,product.product_uom_unit,782,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-09-23 21:39:10
move_demo_009,stock.move,stock_forecast.picking_demo_009,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 4,stock_forecast.product_product_2,product.product_uom_unit,116,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-01-11 19:34:09
move_demo_010,stock.move,stock_forecast.picking_demo_010,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 5,stock_forecast.product_product_2,product.product_uom_unit,464,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-01-22 08:19:06
move_demo_011,stock.move,stock_forecast.picking_demo_011,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 6,stock_forecast.product_product_2,product.product_uom_unit,246,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-04-06 07:56:00
move_demo_012,stock.move,stock_forecast.picking_demo_012,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 7,stock_forecast.product_product_2,product.product_uom_unit,592,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-05-09 23:05:09
move_demo_013,stock.move,stock_forecast.picking_demo_013,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 8,stock_forecast.product_product_2,product.product_uom_unit,658,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-05-25 04:46:11
move_demo_014,stock.move,stock_forecast.picking_demo_014,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 9,stock_forecast.product_product_2,product.product_uom_unit,190,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-05-25 12:10:10
move_demo_015,stock.move,stock_forecast.picking_demo_015,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 10,stock_forecast.product_product_2,product.product_uom_unit,687,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-05-30 13:42:39
move_demo_016,stock.move,stock_forecast.picking_demo_016,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 11,stock_forecast.product_product_2,product.product_uom_unit,521,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-06-15 03:51:57
move_demo_017,stock.move,stock_forecast.picking_demo_017,(Forecast Demo) WH/Stock S76 Kudu Pro Sale 12,stock_forecast.product_product_2,product.product_uom_unit,408,stock.picking_type_out,stock.stock_location_stock,stock.stock_location_customers,2015-07-21 15:49:27
